commandment_number,commandment_concept,commandment_polarity,reference_id,scripture_english,scripture_hebrew,scripture_greek,scripture_parashah,sefer_hachinuch_number,mishneh_torah_book_number,mishneh_torah_book_name,mishneh_torah_category,p119f_category,,,,,,,,,,,,,
21,Do not bear a grudge ,N,LEV 19:18,"'You shall not take vengeance, nor bear any grudge against the sons of your people, but you shall love your neighbor as yourself; I am the LORD.",  לֹא־תִקֹּם וְלֹא־תִטֹּר אֶת־בְּנֵי עַמֶּךָ וְאָהַבְתָּ לְרֵעֲךָ כָּמוֹךָ אֲנִי יְהוָה׃ ‬,καὶ οὐκ ἐκδικᾶταί σου ἡ χείρ καὶ οὐ μηνιεῖς τοῖς υἱοῖς τοῦ λαοῦ σου καὶ ἀγαπήσεις τὸν πλησίον σου ὡς σεαυτόν ἐγώ εἰμι κύριος,Kedoshim,242,1,Knowledge,Personal Development,Love,,,,,,,,,,,,,
22,Learn the Law (Torah),P,DEU 6:7,"""You shall teach them diligently to your sons and shall talk of them when you sit in your house and when you walk by the way and when you lie down and when you rise up.",  וְשִׁנַּנְתָּם לְבָנֶיךָ וְדִבַּרְתָּ בָּם בְּשִׁבְתְּךָ בְּבֵיתֶךָ וּבְלֶכְתְּךָ בַדֶּרֶךְ וּבְשָׁכְבְּךָ וּבְקוּמֶךָ׃ ‬,καὶ προβιβάσεις αὐτὰ τοὺς υἱούς σου καὶ λαλήσεις ἐν αὐτοῖς καθήμενος ἐν οἴκῳ καὶ πορευόμενος ἐν ὁδῷ καὶ κοιταζόμενος καὶ διανιστάμενος,Vaet Chanan,419,1,Knowledge,Torah Study,Torah,,,,,,,,,,,,,
23,Honor the wise and the aged (who know and teach G-d's Law),P,LEV 19:32,"'You shall rise up before the grayheaded and honor the aged, and you shall revere your God; I am the LORD.","לב מִפְּנֵי שֵׂיבָה תָּקוּם, וְהָדַרְתָּ פְּנֵי זָקֵן; וְיָרֵאתָ מֵּאֱלֹהֶיךָ, אֲנִי יְהוָה. {ס}",32 ἀπὸ προσώπου πολιοῦ ἐξαναστήσῃ καὶ τιμήσεις πρόσωπον πρεσβυτέρου καὶ φοβηθήσῃ τὸν θεόν σου· ἐγώ εἰμι κύριος ὁ θεὸς ὑμῶν.  ,Kedoshim,257,1,Knowledge,Torah Study,Torah,,,,,,,,,,,,,
24,Do not inquire into idolatry ,N,LEV 19:4,'Do not turn to idols or make for yourselves molten gods; I am the LORD your God.,"ד אַל-תִּפְנוּ, אֶל-הָאֱלִילִם, וֵאלֹהֵי מַסֵּכָה, לֹא תַעֲשׂוּ לָכֶם: אֲנִי, יְהוָה אֱלֹהֵיכֶם.",4 οὐκ ἐπακολουθήσετε εἰδώλοις καὶ θεοὺς χωνευτοὺς οὐ ποιήσετε ὑμῖν· ἐγὼ κύριος ὁ θεὸς ὑμῶν. --  ,Kedoshim,213,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
25,Do not follow the whims of your heart or what your eyes see ,N,NUM 15:39,"""It shall be a tassel for you to look at and remember all the commandments of the LORD, so as to do them and not follow after your own heart and your own eyes, after which you played the harlot,","לט וְהָיָה לָכֶם, לְצִיצִת, וּרְאִיתֶם אֹתוֹ וּזְכַרְתֶּם אֶת-כָּל-מִצְו‍ֹת יְהוָה, וַעֲשִׂיתֶם אֹתָם; וְלֹא-תָתוּרוּ אַחֲרֵי לְבַבְכֶם, וְאַחֲרֵי עֵינֵיכֶם, אֲשֶׁר-אַתֶּם זֹנִים, אַחֲרֵיהֶם.","39 καὶ ἔσται ὑμῖν ἐν τοῖς κρασπέδοις καὶ ὄψεσθε αὐτὰ καὶ μνησθήσεσθε πασῶν τῶν ἐντολῶν κυρίου καὶ ποιήσετε αὐτὰς καὶ οὐ διαστραφήσεσθε ὀπίσω τῶν διανοιῶν ὑμῶν καὶ ὀπίσω τῶν ὀφθαλμῶν ὑμῶν, ἐν οἷς ὑμεῖς ἐκπορνεύετε ὀπίσω αὐτῶν,  ",Shelach,387,1,Knowledge,Idolatry and Gentile Customs,Morality,,,,,,,,,,,,,
26,Do not curse G-d ,N,EXO 22:28,"""You shall not curse God, nor curse a ruler of your people.",  אֱלֹהִים לֹא תְקַלֵּל וְנָשִׂיא בְעַמְּךָ לֹא תָאֹר׃ ‬,22:27 θεοὺς οὐ κακολογήσεις καὶ ἄρχοντας τοῦ λαοῦ σου οὐ κακῶς ἐρεῖς,Mishpatim,70,1,Knowledge,Idolatry and Gentile Customs,G-d,,,,,,,,,,,,,
27,Do not worship idols in the manner they are worshiped ,N,EXO 20:5,"""You shall not worship them or serve them; for I, the LORD your God, am a jealous God, visiting the iniquity of the fathers on the children, on the third and the fourth generations of those who hate Me,","ד לֹא-תִשְׁתַּחֲוֶה לָהֶם, וְלֹא תָעָבְדֵם: כִּי אָנֹכִי יְהוָה אֱלֹהֶיךָ, אֵל קַנָּא--פֹּקֵד עֲו‍ֹן אָבֹת עַל-בָּנִים עַל-שִׁלֵּשִׁים וְעַל-רִבֵּעִים, לְשֹׂנְאָי.","5 οὐ προσκυνήσεις αὐτοῖς οὐδὲ μὴ λατρεύσῃς αὐτοῖς· ἐγὼ γάρ εἰμι κύριος ὁ θεός σου, θεὸς ζηλωτὴς ἀποδιδοὺς ἁμαρτίας πατέρων ἐπὶ τέκνα ἕως τρίτης καὶ τετάρτης γενεᾶς τοῖς μισοῦσίν με  ",Yitro,28,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
28,Do not worship idols in the four ways we worship G-d ,N,EXO 20:5,"""You shall not worship them or serve them; for I, the LORD your God, am a jealous God, visiting the iniquity of the fathers on the children, on the third and the fourth generations of those who hate Me,",  לֹא־תִשְׁתַּחְוֶה‪[1]‬ לָהֶם וְלֹא תָעָבְדֵם כִּי אָנֹכִי יְהוָה אֱלֹהֶיךָ אֵל קַנָּא פֹּקֵד עֲוֺן אָבֹת עַל־בָּנִים עַל־שִׁלֵּשִׁים וְעַל־רִבֵּעִים לְשֹׂנְאָי׃ ‬,οὐ προσκυνήσεις αὐτοῖς οὐδὲ μὴ λατρεύσῃς αὐτοῖς ἐγὼ γάρ εἰμι κύριος ὁ θεός σου θεὸς ζηλωτὴς ἀποδιδοὺς ἁμαρτίας πατέρων ἐπὶ τέκνα ἕως τρίτης καὶ τετάρτης γενεᾶς τοῖς μισοῦσίν με,Yitro,29,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
29,Do not make an idol for yourself ,N,EXO 20:4,"""You shall not make for yourself an idol, or any likeness of what is in heaven above or on the earth beneath or in the water under the earth.","ג לֹא-תַעֲשֶׂה לְךָ פֶסֶל, וְכָל-תְּמוּנָה, אֲשֶׁר בַּשָּׁמַיִם מִמַּעַל, וַאֲשֶׁר בָּאָרֶץ מִתָּחַת--וַאֲשֶׁר בַּמַּיִם, מִתַּחַת לָאָרֶץ.","4 οὐ ποιήσεις σεαυτῷ εἴδωλον οὐδὲ παντὸς ὁμοίωμα, ὅσα ἐν τῷ οὐρανῷ ἄνω καὶ ὅσα ἐν τῇ γῇ κάτω καὶ ὅσα ἐν τοῖς ὕδασιν ὑποκάτω τῆς γῆς.  ",Yitro,27,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
30,Do not make an idol for others ,N,LEV 19:4,'Do not turn to idols or make for yourselves molten gods; I am the LORD your God.,  אַל־תִּפְנוּ אֶל־הָאֱלִילִים וֵאלֹהֵי מַסֵּכָה לֹא תַעֲשׂוּ לָכֶם אֲנִי יְהוָה אֱלֹהֵיכֶם׃ ‬,οὐκ ἐπακολουθήσετε εἰδώλοις καὶ θεοὺς χωνευτοὺς οὐ ποιήσετε ὑμῖν ἐγὼ κύριος ὁ θεὸς ὑμῶν,Kedoshim,214,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
31,Do not make human forms even for decorative purposes ,N,EXO 20:23,"You shall not make other gods besides Me; gods of silver or gods of gold, you shall not make for yourselves.","יט לֹא תַעֲשׂוּן, אִתִּי: אֱלֹהֵי כֶסֶף וֵאלֹהֵי זָהָב, לֹא תַעֲשׂוּ לָכֶם.",23 οὐ ποιήσετε ἑαυτοῖς θεοὺς ἀργυροῦς καὶ θεοὺς χρυσοῦς οὐ ποιήσετε ὑμῖν αὐτοῖς.  ,Yitro,39,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
32,Do not turn a city to idolatry ,N,EXO 23:13,"""Now concerning everything which I have said to you, be on your guard; and do not mention the name of other gods, nor let them be heard from your mouth.","יג וּבְכֹל אֲשֶׁר-אָמַרְתִּי אֲלֵיכֶם, תִּשָּׁמֵרוּ; וְשֵׁם אֱלֹהִים אֲחֵרִים לֹא תַזְכִּירוּ, לֹא יִשָּׁמַע עַל-פִּיךָ.","13 πάντα, ὅσα εἴρηκα πρὸς ὑμᾶς, φυλάξασθε. Καὶ ὄνομα θεῶν ἑτέρων οὐκ ἀναμνησθήσεσθε, οὐδὲ μὴ ἀκουσθῇ ἐκ τοῦ στόματος ὑμῶν.  ",Mishpatim,87,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
33,Burn a city that has turned to idol worship ,P,DEU 13:17,"""Nothing from that which is put under the ban shall cling to your hand, in order that the LORD may turn from His burning anger and show mercy to you, and have compassion on you and make you increase, just as He has sworn to your fathers,","יח וְלֹא-יִדְבַּק בְּיָדְךָ מְאוּמָה, מִן-הַחֵרֶם--לְמַעַן יָשׁוּב יְהוָה מֵחֲרוֹן אַפּוֹ, וְנָתַן-לְךָ רַחֲמִים וְרִחַמְךָ וְהִרְבֶּךָ, כַּאֲשֶׁר נִשְׁבַּע, לַאֲבֹתֶיךָ.","(13:18) οὐ προσκολληθήσεται ἐν τῇ χειρί σου οὐδὲν ἀπὸ τοῦ ἀναθέματος, ἵνα ἀποστραφῇ κύριος ἀπὸ θυμοῦ τῆς ὀργῆς αὐτοῦ καὶ δώσει σοι ἔλεος καὶ ἐλεήσει σε καὶ πληθυνεῖ σε, ὃν τρόπον ὤμοσεν κύριος τοῖς πατράσιν σου,  ",Re'eh,464,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
34,Do not rebuild an idolatrous city that has been burned ,N,DEU 13:17,"""Nothing from that which is put under the ban shall cling to your hand, in order that the LORD may turn from His burning anger and show mercy to you, and have compassion on you and make you increase, just as He has sworn to your fathers,",  וְלֹא־יִדְבַּק בְּיָדְךָ מְאוּמָה מִן־הַחֵרֶם לְמַעַן יָשׁוּב יְהוָה מֵחֲרוֹן אַפּוֹ וְנָתַן־לְךָ רַחֲמִים וְרִחַמְךָ וְהִרְבֶּךָ כַּאֲשֶׁר נִשְׁבַּע לַאֲבֹתֶיךָ׃ ‬,13:18 οὐ προσκολληθήσεται ἐν τῇ χειρί σου οὐδὲν ἀπὸ τοῦ ἀναθέματος ἵνα ἀποστραφῇ κύριος ἀπὸ θυμοῦ τῆς ὀργῆς αὐτοῦ καὶ δώσει σοι ἔλεος καὶ ἐλεήσει σε καὶ πληθυνεῖ σε ὃν τρόπον ὤμοσεν κύριος τοῖς πατράσιν σου,Re'eh,465,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
35,Do not derive benefit from an idolatrous city ,N,DEU 13:18,"if you will listen to the voice of the LORD your God, keeping all His commandments which I am commanding you today, and doing what is right in the sight of the LORD your God.","יט כִּי תִשְׁמַע, בְּקוֹל יְהוָה אֱלֹהֶיךָ, לִשְׁמֹר אֶת-כָּל-מִצְו‍ֹתָיו, אֲשֶׁר אָנֹכִי מְצַוְּךָ הַיּוֹם--לַעֲשׂוֹת, הַיָּשָׁר, בְּעֵינֵי, יְהוָה אֱלֹהֶיךָ. {ס}","(13:19) ἐὰν ἀκούσῃς τῆς φωνῆς κυρίου τοῦ θεοῦ σου φυλάσσειν πάσας τὰς ἐντολὰς αὐτοῦ, ὅσας ἐγὼ ἐντέλλομαί σοι σήμερον, ποιεῖν τὸ καλὸν καὶ τὸ ἀρεστὸν ἐναντίον κυρίου τοῦ θεοῦ σου.  ",Re'eh,466,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
36,Do not entice an individual to idol worship ,N,DEU 13:12,"""If you hear in one of your cities, which the LORD your God is giving you to live in, anyone saying that","יג כִּי-תִשְׁמַע בְּאַחַת עָרֶיךָ, אֲשֶׁר יְהוָה אֱלֹהֶיךָ נֹתֵן לְךָ לָשֶׁבֶת שָׁם--לֵאמֹר.","(13:13) Ἐὰν δὲ ἀκούσῃς ἐν μιᾷ τῶν πόλεών σου, ὧν κύριος ὁ θεός σου δίδωσίν σοι κατοικεῖν σε ἐκεῖ, λεγόντων  ",Re'eh,462,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
37,Do not love those who entice others into idolatry ,N,DEU 13:9,"""But you shall surely kill him; your hand shall be first against him to put him to death, and afterwards the hand of all the people.","י כִּי הָרֹג תַּהַרְגֶנּוּ, יָדְךָ תִּהְיֶה-בּוֹ בָרִאשׁוֹנָה לַהֲמִיתוֹ; וְיַד כָּל-הָעָם, בָּאַחֲרֹנָה.","(13:10) ἀναγγέλλων ἀναγγελεῖς περὶ αὐτοῦ, αἱ χεῖρές σου ἔσονται ἐπ᾿ αὐτὸν ἐν πρώτοις ἀποκτεῖναι αὐτόν, καὶ αἱ χεῖρες παντὸς τοῦ λαοῦ ἐπ᾿ ἐσχάτῳ,  ",Re'eh,457,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
38,Do not cease hating an idolater ,N,DEU 13:9,"""But you shall surely kill him; your hand shall be first against him to put him to death, and afterwards the hand of all the people.",  כִּי הָרֹג תַּהַרְגֶנּוּ יָדְךָ תִּהְיֶה־בּוֹ בָרִאשׁוֹנָה לַהֲמִיתוֹ וְיַד כָּל־הָעָם בָּאַחֲרֹנָה׃ ‬,13:10 ἀναγγέλλων ἀναγγελεῖς περὶ αὐτοῦ αἱ χεῖρές σου ἔσονται ἐπ' αὐτὸν ἐν πρώτοις ἀποκτεῖναι αὐτόν καὶ αἱ χεῖρες παντὸς τοῦ λαοῦ ἐπ' ἐσχάτῳ,Re'eh,458,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
39,Do not save an idolater from execution ,N,DEU 13:9,"""But you shall surely kill him; your hand shall be first against him to put him to death, and afterwards the hand of all the people.",  כִּי הָרֹג תַּהַרְגֶנּוּ יָדְךָ תִּהְיֶה־בּוֹ בָרִאשׁוֹנָה לַהֲמִיתוֹ וְיַד כָּל־הָעָם בָּאַחֲרֹנָה׃ ‬,13:10 ἀναγγέλλων ἀναγγελεῖς περὶ αὐτοῦ αἱ χεῖρές σου ἔσονται ἐπ' αὐτὸν ἐν πρώτοις ἀποκτεῖναι αὐτόν καὶ αἱ χεῖρες παντὸς τοῦ λαοῦ ἐπ' ἐσχάτῳ,Re'eh,459,1,Knowledge,Idolatry and Gentile Customs,Idolatry,,,,,,,,,,,,,
