section,subject,entry
A,ABIGAIL,"-1. Nabal's wife
     -Her wisdom and tact, and marriage to David 1SA 25; 27:3; 2SA 2:2
     -Mother of Chileab by David 2SA 3:3; 1CH 3:1
     -Taken captive and rescued by David 1SA 30:1-18
-2. Sister of David, and mother of Amasa 2SA 17:25; 1CH 2:16,17"
A,ABIHAIL,"-1. Father of Esther EST 2:15
-2. The second wife of Rehoboam 2CH 11:18,19
-3. Father of Zuriel NUM 3:35
-4. Wife of Abishur 1CH 2:29"
A,ABIHU,"-Son of Aaron EXO 6:23; NUM 3:2
-Summoned by God to Sinai EXO 24:9
-Called to the priesthood EXO 28:1
-Death of LEV 10:1,2; NUM 26:61
-Died childless NUM 3:4"
A,ABIHUD,"-Also called AHIHUD, son of Bela 1CH 8:3"
A,ABIJAH,"-1. Son of Jeroboam 1KI 14:1-18
-2. ABIJAH
     -See ABIAH
     -See ABIJAM"
A,ABIJAM,"-Also called ABIJAH and ABIA
-King of Judah 1KI 14:31; 15:1; 2CH 12:16
-History of 1KI 15:1-8; 2CH 11:22; 13
-Succeeded by Asa 1KI 15:8; 2CH 14:1"
A,ABILENE,-A Roman province in Palestine LUK 3:1
A,ABIMAEL,-Son of Joktan GEN 10:28; 1CH 1:22
A,ABIMELECH,"-1. King of Gerar GEN 20; 21:22-32
-2. King of Gerar GEN 26
-3. Son of Gideon JDG 8:31; 9; 2SA 11:21
-4. ABIMELECH
     -See ACHISH
     -See AHIMELECH"
A,ABINADAB,"-1. A Levite, in whose house the ark of God rested twenty years 1SA 7:1,2; 2SA 6:3,4; 1CH 13:7
-2. Son of Jesse 1SA 16:8; 17:13
-3. Also called ISHUI, son of Saul 1SA 14:49; 31:2
-4. Father of one of Solomon's purveyors. Called in R. V. Ben-Abinadab 1KI 4:11"
A,ABINOAM,-Father of Barak JDG 4:6
A,ABIRAM,"-1. An Israelite who conspired with Dathan against Moses and Aaron NUM 16; 26:9,10; DEU 11:6; PSA 106:17
-2. Son of Hiel 1KI 16:34"
A,ABISHAG,-Wife of David 1KI 1:1-4; 2:13-25
A,ABISHAI,"-Son of Zeruiah, David's sister 1CH 2:16
-One of David's chief men 2SA 23:18
-Seeks Saul's life 1SA 26:6-8
-Pursues and kills Abner 2SA 2:24; 3:30
-Defeats the Edomites 1CH 18:12
-Defeats the Ammonites 2SA 10:10,14
-Seeks the life of Shimei 2SA 16:9; 19:21
-Leads a division of David's army against Absalom 2SA 18:2,5
-Overthrows Sheba 2SA 20:1-22
-Saves David from being slain by a Philistine 2SA 21:17
-Obtains water from the well of Bethlehem for David 1CH 11:15-20"
A,ABISHALOM,"-General scriptures concerning 1KI 15:2,10
-See ABSALOM"
A,ABISHUA,"-1. A high priest 1CH 6:4
-2. A son of Bela 1CH 8:4"
A,ABISHUR,"-Son of Shammai 1CH 2:28,29"
A,ABITAL,-Wife of David 2SA 3:4; 1CH 3:3
A,ABITUB,-A Benjamite 1CH 8:11
A,ABIUD,-Ancestor of Jesus MAT 1:13
A,ABLUTION,"-General scriptures concerning EXO 19:10,14; MAT 15:2; MRK 7:2-5,8,9; LUK 11:38; HEB 9:10
-Of priests EXO 29:4; 36:18-21; 40:12,31,32; LEV 8:6; 16:4,24,26,28; NUM 19:7-10,19; 2CH 4:6
-Of burnt offerings LEV 1:9,13; 9:14; 2CH 4:6
-Of the dead ACT 9:37
-Of infants EZK 16:4
-Of the face MAT 6:17
-Of the feet GEN 18:4; 19:2; 24:32; 43:24; EXO 30:19,21; 40:31; JDG 19:21; 2SA 11:8; So 5:3; LUK 7:38,44; JHN 13:5
-Of the hands EXO 30:18-21; 40:30-32
-Of the hands, as a token of innocency DEU 21:6; PSA 26:6; MAT 27:24
-For defilement
     -Of lepers LEV 14:8,9
     -Those having bloody issue LEV 15:5-13
     -Those having eaten that which died LEV 17:15,16
-Traditional forms of, not observed by Jesus LUK 11:38,39
-See PURIFICATION
-See DEFILEMENT
-FIGURATIVE PSA 51:2,7; 65:3; 73:13; 79:9; PRO 16:6; 20:9; ISA 1:16,18; 4:3,4; DAN 12:10; ZEC 13:1; JHN 13:8; ACT 22:16; 1CO 5:7; 6:11; 2CO 7:1; EPH 5:26; TIT 3:5,6; HEB 1:3; 9:14; 10:22; JAS 4:8; 2PE 1:9; 1JN 1:7,9; REV 1:5; 7:14; 22:14
     -See REGENERATION"
A,ABNER,"-(Son of Ner)
-Cousin of Saul 1SA 14:50,51; with 9:1
-Captain of the host 1SA 14:50; 17:55; 26:5,14
-Dedicated spoils of war to the tabernacle 1CH 26:27,28
-Loyalty of, to the house of Saul 2SA 2:8-32
-Alienation of, from the house of Saul 2SA 3:6-21
-Murdered by Joab; David's sorrow for 2SA 3:27-39"
A,ABOMINATION,"-Things that are, to God
     -Idolatry DEU 7:25; 27:15; 32:16
     -Unjust weights and measures DEU 25:13-16; PRO 11:1; 20:1,23
     -Uncleanness LEV 18:22; 20:13; DEU 24:4
     -Incest LEV 18:6-18
     -Lying with a woman in her menses LEV 18:18,20
     -Adultery LEV 18:20
     -Sodomy LEV 18:22,23
     -Offering seed to Molech LEV 18:21
     -Offering children in sacrifice DEU 18:10
     -Sorcery and necromancy DEU 18:10,11
     -The hire of a whore and price of a dog, as a consecrated gift DEU 23:18
-UNCLASSIFIED SCRIPTURES RELATING TO DEU 22:5; PRO 3:32; 6:16-19; 8:7; 11:20; 12:22; 15:8,9,26; 16:5; 17:15; 20:10,23; 21:27; 24:9; 28:9; 29:27"
A,ABORTION,"-General scriptures concerning EXO 21:22,23
-As a judgment HOS 9:14
-Of animals, caused by thunder PSA 29:9"
A,ABRAHAM,"-Also called ABRAM
-Son of Terah GEN 11:26,27
-Marries Sarah GEN 11:29
-Lives in Ur, but removes to Haran GEN 11:31; NEH 9:7; ACT 7:4
-And Canaan GEN 12:4,5,6; ACT 7:4
-Divine call of GEN 12:1-3; JOS 24:3; NEH 9:7; ISA 51:2; ACT 7:2,3; HEB 11:8
-Canaan given to GEN 12:1,7; 15:7-21; EZK 33:24
-Lives in Bethel GEN 12:8
-Sojourns in Egypt GEN 12:10-20; 26:1
-Deferring to Lot, chooses Hebron GEN 13; 14:13; 35:27
-Lives in Gerar GEN 20; 21:22-34
-Defeats Chedorlaomer GEN 14:5-24; HEB 7:1
-Is blessed by Melchizedek GEN 14:18-20; HEB 7:1-10
-God's covenant with GEN 15; 17:1-22; MIC 7:20; LUK 1:73; ROM 4:13; 15:8; HEB 6:13,14; GAL 3:6-18,29; 4:22-31
-Called ABRAHAM GEN 17:5; NEH 9:7
-Circumcision of GEN 17:10-14,23-27
-Angels appear to GEN 18:1-16; 22:11,15; 24:7
-His questions about the destruction of the righteous and wicked in Sodom GEN 18:23-32
-Witnesses the destruction of Sodom GEN 19:27,28
-Ishmael born to GEN 16:3,15
-Lives in Gerar; deceives Abimelech concerning Sarah, his wife GEN 20
-Isaac born to GEN 21:2,3; GAL 4:22-30
-Sends Hagar and Ishmael away GEN 21:10-14; GAL 4:22-30
-Trial of his faith in the offering of Isaac GEN 22:1-19; HEB 11:17; JAS 2:21
-Sarah, his wife, dies GEN 23:1,2
-He purchases a place for her burial, and buries her in a cave GEN 23:3-20
-Marries Keturah GEN 25:1
-Provides a wife for Isaac GEN 24
-Children of GEN 16:15; 21:2,3; 25:1-4; 1CH 1:32-34
-Testament of GEN 25:5,6
-Wealth of GEN 13:2; 24:35; ISA 51:2
-Age of, at different periods GEN 12:4; 16:16; 21:5; 25:7
-Death GEN 15:15; 25:8-10
-In Paradise MAT 8:11; LUK 13:28; 16:22-31
-Friend of God ISA 41:8; 2CH 20:7; JAS 2:23
-Piety of GEN 12:7,8; 13:4,18; 18:19; 20:7; 21:33; 22:3-13; 26:5; NEH 9:7,8; ROM 4:16-18; 2CH 20:7; ISA 41:8; JAS 2:23
-A prophet GEN 20:7
-Faith of GEN 15:6; ROM 4:1-22; GAL 3:6-9; HEB 11:8-10,17-19; JAS 2:21-24
-Unselfishness of GEN 13:9; 21:25-30
-Independence of, in character GEN 14:23; 23:6-16
-Ancestors of, idolatrous JOS 24:2
-How regarded by his descendants MAT 3:9; LUK 13:16,28; 19:9; JHN 8:33-40"
A,ABSALOM,"-Also called ABISHALOM
-Son of David by Maacah 2SA 3:3; 1CH 3:2
-Beauty of 2SA 14:25
-Kills Amnon 2SA 13:22-29
-Flees to Geshur 2SA 13:37,38
-Is permitted by David to return to Jerusalem 2SA 14:1-24
-His demagogism 2SA 15:2-6,13
-Conspiracy 2SA 15:17
-Death and burial 2SA 18:9-17
-David's mourning for 2SA 18:33; 19:1-8
-Children of 2SA 14:27; 18:18; 1KI 15:2; 2CH 11:20
-Pillar of 2SA 18:18"
A,ABSTEMIOUSNESS,"-General scriptures concerning PRO 23:1-3
-INSTANCES OF
     -Daniel and his Hebrew companions DAN 1:8-16
     -John the Baptist MAT 11:19
     -See ABSTINENCE
     -See TEMPERANCE"
A,"ABSTINENCE, TOTAL","-FROM INTOXICATING BEVERAGES LEV 10:8-10; NUM 6:3,4; JDG 13:4,13,14; EST 1:8; PRO 23:20,31,32; 31:4; JER 35:6-8,14; LUK 1:15
-INSTANCES OF
     -Israelites in the wilderness DEU 29:6
     -Samson JDG 16:17; with 13:3-5,13,14; NUM 6:3,4
     -Daniel DAN 1:8,12
     -Rechabites JER 35:6-14
     -John the Baptist MAT 11:18; LUK 1:15; 7:33
     -See TEMPERANCE"
A,ACCAD,-A city conquered by Nimrod GEN 10:10
A,ACCESSORY,-See COMPLICITY
A,ACCHO,"-Also called PTOLEMAIS, a town of Phoenicia JDG 1:31; ACT 21:7"
A,ACCOMPLICE,-See COMPLICITY
A,ACCOUNTABILITY,-See RESPONSIBILITY
A,ACCURSED,-What so called DEU 21:23; JOS 6:17; 7:1; 1CH 2:7; ISA 65:20; GAL 1:8
A,"ACCUSATION, FALSE","-General scriptures concerning EXO 23:1,7; LEV 19:16; PSA 41:5-9; MAT 5:11; LUK 3:14; 2TI 3:3; 1PE 4:14
-See CONSPIRACY
-See EVIDENCE
-See FALSE WITNESS
-See PERSECUTION
-See SPEAKING, EVIL
-See TALEBEARER
-INCIDENTS ILLUSTRATIVE OF
     -Against Joseph by Potiphar's wife GEN 39:7-20
     -Against Joseph's brethren by Joseph GEN 42:9-14
     -Against Moses by Korah NUM 16:3,13
     -Against the prophet Ahimelech by Saul 1SA 22:11-16
     -Against Abner by Joab 2SA 3:24-27
     -Against David by the princes of Ammon 2SA 10:3
     -Against Elijah by Ahab 1KI 18:17,18
     -Against Naboth by Jezebel 1KI 21:10,13
     -Against Jews, returned under Ezra EZR 4:6-16; NEH 6:6-8
     -Against Jeremiah JER 26:8,11; 37:13,14; 43:2,3
     -Against Amos AMO 7:10,11
     -Against Mary MAT 1:19
     -Against Jesus MAT 9:34; 10:25; 12:2-14; 26:59-61; MRK 3:22; 14:53-65; LUK 23:2; JHN 18:30
     -Against Stephen ACT 6:11,13
     -Against Paul ACT 17:7; 21:28; 24:5,6,13; 25:2,7; ROM 3:8
     -Against Paul and Silas ACT 16:20,21
     -Satan falsely accuses Job JOB 1:9,10; 2:4,5"
A,ACELDAMA,-The field of blood MAT 27:8; ACT 1:19
A,ACHAIA,"-(A region of Greece)
-Paul visits ACT 18; 19:21; ROM 16:5; 1CO 16:15; 2CO 1:1
-Benevolence of the Christians in ROM 15:26; 2CO 9:2; 11:10"
A,ACHAICUS,"-A citizen of Corinth 1CO 16:17,18"
A,ACHAN,-Sin and punishment of JOS 7; 22:20; 1CH 2:7
A,ACHAZ,-See AHAZ
A,ACHBOR,"-1. Father of King Baal-hanan GEN 36:39; 1CH 1:49
-2. Or ABDON. One of Josiah's courtiers 2KI 22:14; 2CH 34:20
-3. Father of Elnathan JER 26:22; 36:12,25"
A,ACHIM,-Ancestor of Jesus MAT 1:14
A,ACHISH,"-(King of the Philistines, also called ABIMELECH)
-David escapes to 1SA 21:10-15; 27; 28:1,2; 29; 1KI 2:39,40"
A,ACHMETHA,-A Persian city EZR 6:2
A,ACHOR,-A valley near Jericho JOS 7:26; 15:7; ISA 65:10; HOS 2:15
A,ACHSAH,"-Caleb's daughter JOS 15:16-19; JDG 1:9-13
-Called ACHSA 1CH 2:49"
A,ACHSHAPH,-An ancient city in North Palestine JOS 11:1; 12:20; 19:25
A,ACHZIB,"-1. A city of Asher JOS 19:29; JDG 1:31
-2. Also called CHEZIB, a city of Judah GEN 38:5; JOS 15:44"
A,ACRE,"-The indefinite quantity of land a yoke of oxen could plow in a day, with the kinds of plows, and modes of plowing, used in the times referred to 1SA 14:14; ISA 5:10"
A,ACROSTIC POETRY,-See POETRY
A,ACTIONS AT LAW,"-Duty of defendant MAT 5:40
-See ADJUDICATION
-See ARBITRATION"
A,ADADAH,-A city of Judah JOS 15:22
A,ADAH,"-1. Wife of Lamech GEN 4:19-23
-2. Wife of Esau GEN 36:10-12"
A,ADAIAH,"-1. Grandfather of Josiah 2KI 22:1
-2. A musician 1CH 6:41
-3. A priest 1CH 9:12; NEH 11:12
-4. A Benjamite 1CH 8:21
-5. Father of Maaseiah 2CH 23:1
-6. Two sons of Bani EZR 10:29,39
-7. Son of Joiarib NEH 11:5"
A,ADALIA,-Son of Haman EST 9:8
A,ADAM,"-1. The first man. Creation of GEN 1:26-28; 2:7; 1CO 15:45; 1TI 2:13
     -History of, before he sinned GEN 1:26-30; 2:16-25
     -Temptation and sin of GEN 3; JOB 31:33; ISA 43:27; HOS 6:7
     -See R. V.) ROM 5:14-21; 1TI 2:14
     -Subsequent history of GEN 3:20-24; 4:1,2,25; 5:1-5
     -His death GEN 5:5
     -Progenitor of the human race DEU 32:8; MAL 2:10
     -Brought sin into the world 1CO 15:22,45
     -Type of Christ ROM 5:14
-2. A name of Christ 1CO 15:45,47
-3. A city near the Jordan JOS 3:16"
A,ADAMAH,"-Also called ADAMI, a city of Naphtali JOS 19:33,36"
A,ADAMANT,"-A flint EZK 3:9; ZEC 7:12
-See DIAMOND"
A,ADAMI,-See ADAMAH
A,ADAR,"-1. Twelfth month in Jewish calendar EZR 6:15; EST 3:7; 8:12; 9:1
-2. Son of Bela 1CH 8:3
-3. ADAR
     -See HAZAR-ADAR"
A,ADBEEL,-Son of Ishmael GEN 25:13; 1CH 1:29
A,ADDAN,"-Also called ADDON, uncertain whether person or town EZR 2:59; NEH 7:61"
A,ADDER,-A venomous serpent GEN 49:17; PSA 91:13; 58:4; 140:3; PRO 23:32
A,ADDON,-See ADDAN
A,ADER,-A Benjamite 1CH 8:15
A,ADIEL,"-1. A man of the tribe of Simeon 1CH 4:36
-2. A priest 1CH 9:12
-3. Father of Azmaveth 1CH 27:25"
A,ADIN,-A Jewish captive EZR 2:15; 8:6; NEH 7:20
A,ADINA,-One of David's heroes 1CH 11:42
A,ADINO,-One of David's valiant men 2SA 23:8
A,ADITHAIM,-A city of Judah JOS 15:36
A,ADJUDICATION AT LAW,"-TO BE AVOIDED PRO 17:14; 20:3; 25:8-10; MAT 5:25
-See ACTIONS AT LAW
-See ARBITRATION
-See COMPROMISE
-See COURTS
-See JUSTICE"
A,ADLAI,-Father of Shaphat 1CH 27:29
A,ADMAH,-A city in the vale of Siddim GEN 10:19; 14:2; DEU 29:23; HOS 11:8
A,ADMATHA,-A Persian prince EST 1:14
A,ADMONITION,"-See WICKED, WARNED"
A,ADNA,"-1. A son of Pahath-Moab EZR 10:30
-2. A priest NEH 12:15"
A,ADNAH,"-1. One of David's captains 1CH 12:20
-2. A military chief 2CH 17:14"
A,ADONI-BEZEK,-King of Bezek JDG 1:4-7
A,ADONIJAH,"-1. Son of David and Haggith 2SA 3:4; 1KI 1:5,6; 1CH 3:2
     -Usurpation of, and downfall 1KI 1
     -Executed by Solomon 1KI 2:13-25
-2. A Levite 2CH 17:8
-3. ADONIJAH
     -See ADONIKAM"
A,ADONIKAM,"-Also called ADONIJAH, a Jew who returned with Ezra from Babylon EZR 2:13; NEH 7:18; 10:16"
A,ADONIRAM,"-Also called ADORAM, a tax gatherer 2SA 20:24; 1KI 4:6; 5:14; 12:18"
A,ADONI-ZEDEK,-A king of Jerusalem JOS 10:1-27
A,ADOPTION,"-General scriptures concerning GEN 15:3
-OF CHILDREN. INSTANCES OF
     -Of Joseph's sons GEN 48:5,14,16,22
     -Of Moses EXO 2:5-10; ACT 7:21; HEB 11:24
     -Of Esther EST 2:7
-SPIRITUAL EXO 4:22,23; NUM 6:27; DEU 14:1; 26:18; 27:9; 28:10; 32:5,6; 2SA 7:14; 1CH 22:10; 28:6; 2CH 7:14; PRO 14:26; ISA 8:18; 43:6,7; 63:8,16; JER 3:19; 31:9,20; HOS 1:9; 11:1; MAT 5:9,45; 13:43; LUK 6:35; JHN 1:12,13; 11:52; ACT 15:17; ROM 8:14-19,21,29; 9:8,26; 2CO 6:17; GAL 3:26,29; 4:5-7; EPH 1:5; 2:19; 3:6,15; PHP 2:15; HEB 1:5; 2:10,13; 12:6,7,9; 1JN 3:1,2,10; 4:4; REV 21:7
-TYPIFIED, in Israel EXO 4:22
     -See GOD, FATHERHOOD OF
     -See RIGHTEOUS, UNION OF, WITH CHRIST"
A,ADORAIM,-A city of Judah 2CH 11:9
A,ADORAM,"-1. Officer over the tribute 2SA 20:24
-2. See ADONIRAM"
A,ADRAMMELECH,"-1. An Assyrian idol 2KI 17:31
-2. Son of Sennacherib 2KI 19:37; ISA 37:38"
A,ADRAMYTTIUM,-A city of Mysia ACT 27:2
A,ADRIA,-Sea of ACT 27:27
A,ADRIEL,"-Saul's son-in-law 1SA 18:19; 2SA 21:8,9"
A,ADULLAM,"-1. A cave near the Dead Sea
     -David takes refuge in 1SA 22:1; 2SA 23:13; 1CH 11:15
     -See titles of PSA 57; 142
-2. An ancient city of Canaan GEN 38:1; JOS 12:15; 15:35; 2CH 11:7; NEH 11:30; MIC 1:15"
A,ADULTERY,"-General scriptures concerning GEN 20:3; 2SA 12:14; JOB 24:15-18; 31:1,9-12; PRO 2:16-19; 5:3-22; 6:24-29,32,33; 7:5-23; 9:13-18; 22:14; 23:27,28; 29:3; 30:18-20; 31:3; ISA 57:3,4; JER 3:1; 5:7,8; 7:9,10; 23:10; EZK 18:5,6; HOS 4:1,2,11; MAT 5:28,32; 15:19; 19:9; MRK 7:21; 10:11,12,19; LUK 16:18; ACT 15:20,29; ROM 1:28,29,32; 7:3; 1CO 5:9,10; 6:15-18; 10:8; 2CO 12:21; GAL 5:19,21; 1TI 1:9,10; 2TI 3:6; JAS 2:11; 1PE 4:3,4; 2PE 2:9,10,14; Jude 1:7; REV 2:20-22; 9:21
-See LASCIVIOUSNESS
-See RAPE
-See SENSUALITY
-See SODOMY
-See WHORE
-See WHOREDOM
-FORBIDDEN EXO 20:14; LEV 18:20; 19:29; DEU 5:18; 23:17; MAT 5:27; 19:18; LUK 18:20; ACT 15:20; ROM 13:9,13; 1CO 5:9-11; 6:13,15,18; 10:8; EPH 4:17,19,20; 5:3,11,12; COL 3:5; 1TH 4:3-5,7; JAS 2:11
-FORGIVENESS OF. INSTANCES OF JDG 19:1-4; JHN 8:10,11
-PENALTIES FOR GEN 20:7; 26:11; 38:24; EXO 22:16,17; LEV 19:20-22; 20:10-12; 21:9; NUM 5:11-29; DEU 22:13-29; 27:20,22,23; 2SA 12:10-12; JER 29:22,23; EZK 16:38,40,41; 23:45,47,48; MAL 2:5; JHN 8:4,5; 1CO 5:1-13; 6:9,10; 10:8; GAL 5:19,21; EPH 5:5,6; HEB 13:4; REV 18:9,10; 21:8; 22:15
-FIGURATIVE JER 3:2; EZK 16:15,16; HOS 1
     -See WHOREDOM
     -See IDOLATRY
-INSTANCES OF
     -Sodomites GEN 19:5-8
     -Lot GEN 19:31-38
     -Shechem GEN 34:2
     -Reuben GEN 35:22
     -Judah GEN 38:1-24
     -Potiphar's wife GEN 39:7-12
     -The Levite's concubine JDG 19:2
     -The Gibeahites JDG 19:22-25
     -Gilead JDG 11:1
     -Samson JDG 16:1
     -Sons of Eli 1SA 2:22
     -David 2SA 11:1-5
     -Amnon 2SA 13:1-20
     -Absalom 2SA 16:22
     -Israelites EXO 32:6,25; JER 29:23; EZK 22:9-11; 33:26; HOS 7:4
     -Herod MAT 14:3,4; MRK 6:17,18; LUK 3:19
     -The Samaritan woman JHN 4:17,18
     -The woman brought to Jesus in the temple JHN 8:4-11
     -Corinthians 1CO 5:1-5
     -Heathen EPH 4:17-19; 1PE 4:3"
A,ADUMMIM,-A place on the road leading from the fords of the Jordan to Jerusalem JOS 15:7; 18:17
A,ADVENT,"-See JESUS, SECOND COMING OF
-See MILLENNIUM"
A,ADVICE,-See COUNSEL
A,ADVOCATE,"-Tertullus ACT 24:1-9
-FIGURATIVE 1JN 2:1"
A,AENEAS,"-Healed ACT 9:33,34"
A,AENON,-See ENON
A,AFFECTIONS,"-Should be supremely set upon God DEU 6:5; MRK 12:30
-Should be set upon the commandments of God PSA 19:8-10; 119:20,97,103,167
-Should be set upon the house and worship of God 1CH 29:3; PSA 26:8; 27:4; 84:1,2
-Should be set upon the people of God PSA 16:3; ROM 12:10; 2CO 7:13-16; 1TH 2:8
-Should be set upon heavenly things COL 3:1,2
-Should be zealously engaged for God PSA 69:9; 119:139; GAL 4:18
-Christ claims the first place in MAT 10:37; LUK 14:26
-Enkindled by communion with Christ LUK 24:32
-Blessedness of making God the object of PSA 91:14
-Should not grow cold PSA 106:12,13; MAT 24:12; GAL 4:15; REV 2:4
-Of saints, supremely set on God PSA 42:1; 73:25; 119:10
-Of the wicked, not sincerely set on God ISA 58:1,2; EZK 33:31,32; LUK 8:13
-Carnal, should be mortified ROM 8:13; 13:14; 1CO 9:27; COL 3:5; 1TH 4:5
-Carnal affections crucified in saints ROM 6:6; GAL 5:24
-False teachers seek to captivate GAL 1:10; 4:17; 2TI 3:6; 2PE 2:3,18; REV 2:14,20
-Of the wicked, are unnatural and perverted ROM 1:31; 2TI 3:3; 2PE 2:10"
A,AFFLICTED,"-DUTY TO THE JOB 6:14; 22:29; ISA 58:6,7,10; MAT 25:34-45; LUK 10:30-37; PHP 2:1,2; 1TI 5:10; JAS 5:13-15"
