strongs_number,word,gloss,language,part_of_speech,gender,occurrences,first_occurrence,root_word,word_root_occurrence,first_root_number,first_root_hebrew,second_root_number,second_root_hebrew,third_root_number,third_root_hebrew
22,אֲבִיאֵל,"Abiy'el (ab-ee-ale') n/p.
1. father (i.e. possessor) of God
2. Abiel, the name of two Israelites
[from H1 and H410]
KJV: Abiel. 
Root(s): H1, H410 ",H,noun proper,,3,1SA 9:1,אב אל,7,1,אב,410,אל,,
23,אֲבִיאָסָף,"Abiy'acaph (ab-ee-aw-sawf') n/p.
1. father of gathering (i.e. gatherer)
2. Abiasaph, an Israelite
[from H1 and H622]
KJV: Abiasaph. 
Root(s): H1, H622 ",H,noun proper,,1,EXO 6:24,אב אסף,7,1,אב,622,אסף,,
24,אָבִיבּ,"abiyb (aw-beeb') n-m.
1. green, i.e. a young ear of grain
2. (hence) the name of the month Abib or Nisan
[from an unused root (meaning to be tender)]
KJV: Abib, ear, green ears of corn (not maize). ",H,noun,masculine,8,EXO 9:31,אבב,13,,,,,,
25,אֲבִי גִּבעוֹן,"Abiy Gib`own (ab-ee' ghib-one') n/p.
1. father (i.e. founder) of Gibon
2. Abi-Gibon, perhaps an Israelite
[from H1 and H1391]
KJV: father of Gibeon. 
Root(s): H1, H1391 ",H,noun proper,,2,1CH 8:29,אב גבע,,1,אב,1391,גבעון,,
26,אֲבִיגַּיִל אֲבִיגַּל,"Abiygayil (ab-ee-gah'-yil) (or shorter Abiygal {ab-ee-gal'}) n/p.
1. father (i.e. source) of joy
2. Abigail or Abigal, the name of two Israelitesses
[from H1 and H1524]
KJV: Abigal. 
Root(s): H1, H1524 ",H,noun proper,,19,1SA 25:3,,,1,אב,1524,גיל,,
27,אֲבִידָּן,"Abiydan (ab-ee-dawn') n/p.
1. father of judgment (i.e. judge)
2. Abidan, an Israelite
[from H1 and H1777]
KJV: Abidan. 
Root(s): H1, H1777 ",H,noun proper,,5,NUM 1:11,דין דון,,1,אב,1777,דין דון,,
28,אֲבִידָּע,"Abiyda` (ab-ee-daw') n/p.
1. father of knowledge (i.e. knowing)
2. Abida, a son of Abraham by Keturah
[from H1 and H3045]
KJV: Abida, Abidah. 
Root(s): H1, H3045 ",H,noun proper,,2,GEN 25:4,ידע,,1,אב,3045,ידע,,
29,אֲבִיָה אֲבִיָהוּ,"Abiyah (ab-ee-yaw') (or prolonged Abiyahuw {ab-ee-yaw'-hoo}) n/p.
1. father (i.e. worshipper) of Jah
2. Abijah, the name of several Israelite men and two Israelitesses
[from H1 and H3050]
KJV: Abiah, Abijah. 
Root(s): H1, H3050 ",H,noun proper,,25,1SA 8:2,,,1,אב,3050,יה,,
30,אֲבִיהוּא,"Abiyhuw' (ab-ee-hoo') n/p.
1. father (i.e. worshipper) of Him (i.e. God)
2. Abihu, a son of Aaron
[from H1 and H1931]
KJV: Abihu. 
Root(s): H1, H1931 ",H,noun proper,,12,EXO 6:23,הוא היא,,1,אב,1931,הוא היא,,
31,אֲבִיהוּד,"Abiyhuwd (ab-ee-hood') n/p.
1. father (i.e. possessor) of renown
2. Abihud, the name of two Israelites
[from H1 and H1935]
KJV: Abihud. 
Root(s): H1, H1935 ",H,noun proper,,1,1CH 8:3,,,1,אב,1935,הוד,,
32,אֲבִיהַיִל אֲבִיחַיִל,"Abiyhayil (ab-ee-hah'-yil) (or (more correctly) hAbiychayil {ab-ee- khah'-yil}) n/p.
1. father (i.e. possessor) of might
2. Abihail or Abichail, the name of three Israelites and two Israelitesses
[from H1 and H2428]
KJV: Abihail. 
Root(s): H2428 ",H,noun proper,,6,NUM 3:35,חול,,2428,חיל,,,,
33,אֲבִי הָעֶזרִי,"Abiy ha-`Ezriy (ab-ee'-haw-ez-ree') n/p.
1. father of the Ezrite
2. an Abiezrite or descendant of Abiezer
[from H44 with the article inserted]
KJV: Abiezrite. 
Root(s): H44 ",H,noun proper,,3,JDG 6:11,,,44,אביעזר,,,,
34,אֶביוֹן,"ebyown (eb-yone') adj.
1. destitute
[from H14, in the sense of want (especially in feeling)]
KJV: beggar, needy, poor (man). 
Root(s): H14",H,adjective,,61,EXO 23:6,אבה,119,14,אבה,,,,
35,אֲבִיוֹנָה,"abiyownah (ab-ee-yo-naw') n-f.
1. provocative of desire
2. the caper berry (from its stimulative taste)
[from H14]
KJV: desire. 
Root(s): H14 ",H,noun,feminine,1,ECC 12:5,אבה,119,14,אבה,,,,
36,אֲבִיטּוּב,"Abiytuwb (ab-ee-toob') n/p.
1. father of goodness (i.e. good)
2. Abitub, an Israelite
[from H1 and H2898]
KJV: Abitub. 
Root(s): H1, H2898 ",H,noun proper,,1,1CH 8:11,,,1,אב,2898,טוב,,
37,אֲבִיטַּל,"Abiytal (ab-ee-tal') n/p.
1. father of dew (i.e. fresh)
2. Abital, a wife of King David
[from H1 and H2919]
KJV: Abital. 
Root(s): H1, H2919 ",H,noun proper,,2,2SA 3:4,,,1,אב,2919,טל,,
38,אֲבִיָם,"Abiyam (ab-ee-yawm') n/p.
1. father of (the) sea (i.e. seaman)
2. Abijam (or Abijah), a king of Judah
[from H1 and H3220]
KJV: Abijam. 
Root(s): H1, H3220 ",H,noun proper,,5,1KI 14:31,ים,,1,אב,3220,ים,,
39,אֲבִימָאֵל,"Abiyma'el (ab-ee-maw-ale') n/p.
1. father of Mael (apparently some Arab tribe)
2. Abimael, a son of Joktan
[from H1 and an elsewhere unused (probably foreign) word]
KJV: Abimael. 
Root(s): H1 ",H,noun proper,,2,GEN 10:28,אב,1414,1,אב,,,,
40,אֲבִימֶלֶך,"Abiymelek (ab-ee-mel'-ek) n/p.
1. father of (the) king
2. Abimelek, the name of two Philistine kings and of two Israelites
[from H1 and H4428]
KJV: Abimelech. 
Root(s): H1, H4428 ",H,noun proper,,67,GEN 20:2,מלך,,1,אב,4428,מלך,,
41,אֲבִינָדָב,"Abiynadab (ab-ee-naw-dawb') n/p.
1. father of generosity (i.e. liberal)
2. Abinadab, the name of four Israelites
[from H1 and H5068]
KJV: Abinadab. 
Root(s): H1, H5068 ",H,noun proper,,12,1SA 7:1,נדב,,1,אב,5068,נדב,,
42,אֲבִינוֹעַם,"Abiyno`am (ab-ee-no'-am) n/p.
1. father of pleasantness (i.e. gracious)
2. Abinoam, an Israelite
[from H1 and H5278]
KJV: Abinoam. 
Root(s): H1, H5278 ",H,noun proper,,4,JDG 4:6,,,1,אב,5278,נועם,,
43,אֶביָסָף,"Ebyacaph (eb-yaw-sawf') n/p.
1. Ebjasaph, an Israelite
[contracted from H23]
KJV: Ebiasaph. 
Root(s): H23 ",H,noun proper,,3,1CH 6:23,אב אסף,7,23,אביאסף,,,,
44,אֲבִיעֶזֶר,"Abiy`ezer (ab-ee-ay'-zer) n/p.
1. father of help (i.e. helpful)
2. Abiezer, the name of two Israelites
[from H1 and H5829]
KJV: Abiezer. 
Root(s): H1, H5829 ",H,noun proper,,7,JOS 17:2,עזר,,1,אב,5829,עזר,,
45,אֲבִי ־ עַלבּוֹן,"Abiy-`albown (ab-ee-al-bone') n/p.
1. probably, father of strength (i.e. valiant)
2. Abialbon, an Israelite
[from H1 and and an unused root of uncertain. derivation]
KJV: Abialbon. 
Root(s): H1 ",H,noun proper,,1,2SA 23:31,,,1,אב,,,,
46,אָבִיר,"abiyr (aw-beer') adj.
1. mighty (spoken of God)
[from H82]
KJV: mighty (one). 
Root(s): H82 ",H,adjective,,6,GEN 49:24,אבר,31,82,אבר,,,,
47,אַבִּיר,"abbiyr (ab-beer') adj.
1. mighty (spoken of created beings
[from H46]
KJV: angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant. 
Root(s): H46 ",H,adjective,,17,JDG 5:22,אבר,31,46,אביר,,,,
48,אֲבִירָם,"Abiyram (ab-ee-rawm') n/p.
1. father of height (i.e. lofty)
2. Abiram, the name of two Israelites
[from H1 and H7311]
KJV: Abiram. 
Root(s): H1, H7311 ",H,noun proper,,11,NUM 16:1,רום,,1,אב,7311,רום,,
49,אֲבִישַׁג,"Abiyshag (ab-ee-shag') n/p.
1. father of error (i.e. blundering)
2. Abishag, a concubine of David
[from H1 and H7686]
KJV: Abishag. 
Root(s): H1, H7686 ",H,noun proper,,5,1KI 1:3,שגה,,1,אב,7686,שׁגה,,
50,אֲבִישׁוַּע,"Abiyshuwae (ab-ee-shoo'-ah) n/p.
1. father of plenty (i.e. prosperous)
2. Abishua, the name of two Israelites
[from H1 and H7771]
KJV: Abishua. 
Root(s): H1, H7771 ",H,noun proper,,5,1CH 6:4,שוע,,1,אב,7771,שׁוע,,
51,אֲבִישׁוּר,"Abiyshuwr (ab-ee-shoor') n/p.
1. father of (the) wall (i.e. perhaps mason)
2. Abishur, an Israelite
[from H1 and H7791]
KJV: Abishur. 
Root(s): H1, H7791 ",H,noun proper,,2,1CH 2:28,שור,,1,אב,7791,שׁור,,
52,אֲבִישַׁי אַבשַׁי,"Abiyshay (ab-ee-shah'ee) (or (shorter) Abshay {ab-shah'ee}) n/p.
1. father of a gift (i.e. probably generous)
2. Abishai, an Israelite
[from H1 and H7862]
KJV: Abishai. 
Root(s): H1, H7862 ",H,noun proper,,25,1SA 26:6,,,1,אב,7862,שׁי,,
53,אֲבִישָׁלוֹם אַבשָׁלוֹם,"Abiyshalowm (ab-ee-shaw-lome') (or (shortened) bAbshalowm {ab-shaw- lome'}) n/p.
1. father of peace (i.e. friendly)
2. Abshalom, a son of David
3. (also, the fuller form) a later Israelite
[from H1 and H7965]
KJV: Abishalom, Absalom. 
Root(s): H1, H7965 ",H,noun proper,,111,2SA 3:3,שׁלם,,1,אב,7965,שׁלום שׁלום,,
54,אֶביָתָר,"Ebyathar (ab-yaw-thawr') n/p.
1. father of abundance (i.e. liberal)
2. Ebjathar, an Israelite
[contracted from H1 and H3498]
KJV: Abiathar. 
Root(s): H1, H3498 ",H,noun proper,,30,1SA 22:20,יתר,,1,אב,3498,יתר,,
55,אָבַך,"abak (aw-bak') v.
1. probably to coil upward
[a primitive root]
KJV: mount up. ",H,verb,,1,ISA 9:18,אבך,1,,,,,,
56,אָבַל,"abal (aw-bal') v.
1. to bewail
[a primitive root]
KJV: lament, mourn. ",H,verb,,39,GEN 37:34,אבל,96,,,,,,
57,אָבֵל,"abel (aw-bale') adj.
1. lamenting
[from H56]
KJV: mourn(-er, -ing). 
Root(s): H56 ",H,adjective,,8,GEN 37:35,אבל,96,56,אבל,,,,
58,אָבֵל,"abel (aw-bale') n-f.
1. a meadow
[from an unused root (meaning to be grassy)]
KJV: plain. 
Compare: also, the, proper, names, beginning, with, Abel- ",H,noun,feminine,1,JDG 11:33,אבל,96,,,,,,
59,אָבֵל,"Abel (aw-bale') n/l.
1. a meadow
2. Abel, the name of two places in Israel
[from H58]
KJV: Abel. 
Root(s): H58 ",H,noun location,,4,1SA 6:18,אבל,96,58,אבל,,,,
60,אֵבֶל,"ebel (ay'-bel) n-m.
1. lamentation
[from H56]
KJV: mourning. 
Root(s): H56 ",H,noun,masculine,24,GEN 27:41,אבל,96,56,אבל,,,,
61,אֲבָל,"abal (ab-awl') adv.
1. nay, i.e. truly or yet
[apparently from H56 through the idea of negation]
KJV: but, indeed, nevertheless, verily. 
Root(s): H56 ",H,verb,,11,GEN 17:19,אבל,96,56,אבל,,,,
62,אָבֵל בֵּיתּ מֲעַכָה,"Abel Beyth-Ma`akah (aw-bale' bayth ma-a-kaw') n/l.
1. meadow of Beth-Maakah
2. Abel of Beth-maakah, a place in Israel
[from H58 and H1004 and H4601]
KJV: Abel-beth-maachah, Abel of Beth-maachah, 
Root(s): H58, H1004, H4601 ",H,noun location,,2,1KI 15:20,אבל,96,58,אבל,1004,בית,4601,מעכה
63,אָבֵל הַשִּׁטִּים,"Abel hash-Shittiym (aw-bale' hash-shit-teem') n/l.
1. meadow of the acacias
2. Abel hash- Shittim, a place in Israel
[from H58 and the plural of H7848, with the article inserted]
KJV: Abel-shittim. 
Root(s): H58, H7848 ",H,noun location,,1,NUM 33:49,אבל,96,58,אבל,7848,שׁטה שׁטים,,
64,אָבֵל כְּרָמִים,"Abel Kramiym (aw-bale' ker-aw-meem') n/l.
1. meadow of vineyards
2. Abel-Keramim, a place in Israel
[from H58 and the plural of H3754]
KJV: plain of the vineyards. 
Root(s): H58, H3754 ",H,noun location,,1,JDG 11:33,אבל,96,58,אבל,3754,כרם,,
65,אָבֵל מְחוֹלָה,"Abel Mchowlah (aw-bale' mekh-o-law') n/l.
1. meadow of dancing
2. Abel-Mecholah, a place in Israel
[from H58 and H4246]
KJV: Abel-meholah. 
Root(s): H58, H4246 ",H,noun location,,3,JDG 7:22,אבל,96,58,אבל,4246,מְחולה,,
66,אַבֵל מַיִם,"Abel Mayim (aw-bale' mah'-yim) n/l.
1. meadow of water
2. Abel-Majim, a place in Israel
[from H58 and H4325]
KJV: Abel-maim. 
Root(s): H58, H4325 ",H,noun location,,1,2CH 16:4,אבל,96,58,אבל,4325,מים,,
67,אָבֵל מִצרַיִם,"Abel Mitsrayim (aw-bale' mits-rah'-yim) n/l.
1. meadow of Egypt
2. Abel-Mitsrajim, a place in Israel
[from H58 and H4714]
KJV: Abel-mizraim. 
Root(s): H58, H4714 ",H,noun location,,1,GEN 50:11,אבל,96,58,אבל,4714,מצרים,,
68,אֶבֶן,"eben (eh'-ben) n-f.
1. a stone
[from the root of H1129 through the meaning to build]
KJV: + carbuncle, + mason, + plummet, (chalk-, hail-, head-, sling-)stone(-ny), (divers) weight(-s). 
Root(s): H1129 ",H,noun,feminine,273,GEN 2:12,בנה,,1129,בנה,,,,
69,אֶבֶן,"eben (eh'-ben) n-f.
1. stone
[(Aramaic) corresponding to H68]
 Root(s): H68 ",A,noun,feminine,8,EZR 5:8,אבן,14,68,אבן,,,,
70,אוֹבֶן,"oben (o'ben) n-m.
1. a pair of stones (only dual)
2. a potter's wheel or a midwife's stool (consisting alike of two horizontal disks with a support between)
[from the same as H68]
KJV: wheel, stool. 
Root(s): H68 ",H,noun,masculine,2,EXO 1:16,אבן,14,68,אבן,,,,
71,אֲבָנָה,"Abanah (ab-aw-naw') n/l.
1. stony
2. Abanah, a river near Damascus
[perhaps feminine of H68]
KJV: Abana. 
Root(s): H68 
Compare: H549 ",H,noun location,,1,2KI 5:12,אבן,14,68,אבן,,,,
72,אֶבֶן הָעֵזֶר,"Eben ha-`ezer (eh'-ben haw-e'-zer) n/l.
1. stone of the help
2. Eben-ha-Ezer, a place in Israel
[from H68 and H5828 with the article inserted]
KJV: Ebenezer. 
Root(s): H68, H5828 ",H,noun location,,3,1SA 4:1,אבן,14,68,אבן,5828,עזר,,
73,אַבנֵט,"abnet (ab-nate') n-m.
1. a belt
[of uncertain derivation]
KJV: girdle. ",H,noun,masculine,9,EXO 28:4,,,,,,,,
74,אַבנֵר אֲבִינֵר,"Abner (ab-nare') (or (fully) nAbiyner {ab-ee-nare'}) n/p.
1. father of light (i.e. enlightening)
2. Abner, an Israelite
[from H1 and H5216]
KJV: Abner. 
Root(s): H1, H5216 ",H,noun proper,,63,1SA 14:50,ניר,,1,אב,5216,ניר נר ניר נר נרה,,
75,אָבַס,"abac (aw-bas') v.
1. to fodder
[a primitive root]
KJV: fatted, stalled. ",H,verb,,2,1KI 4:23,אבס,5,,,,,,
76,אֲבַעבּוּעָה,"aba`bu`ah (ab-ah-boo-aw') n-f.
1. an inflammatory pustule (as eruption)
[(by reduplication) from an unused root (meaning to belch forth)]
KJV: blains. ",H,noun,feminine,2,EXO 9:9,,,,,,,,
77,אֶבֶץ,"Ebets (eh'-bets) n/l.
1. conspicuous
2. Ebets, a place in Israel
[from an unused root probably meaning to gleam]
KJV: Abez. ",H,noun location,,1,JOS 19:20,אבץ,1,,,,,,
78,אִבצָּן,"Ibtsan (ib-tsawn') n/p.
1. splendid
2. Ibtsan, an Israelite
[from the same as H76]
KJV: Ibzan. 
Root(s): H76 ",H,noun proper,,2,JDG 12:8,,,76,אבעבועה,,,,
79,אָבַק,"abaq (aw-bak') v.
1. to bedust, i.e. grapple
[a primitive root, probably to float away (as vapor), but used only as denominative from H80]
KJV: wrestle. 
Root(s): H80 ",H,verb,,2,GEN 32:24,אבק,9,80,אבק,,,,
80,אָבָק,"abaq (aw-bawk') n-m.
1. light particles (as volatile)
[from root of H79]
KJV: (small) dust, powder. 
Root(s): H79 ",H,noun,masculine,6,EXO 9:9,אבק,9,79,אבק,,,,
81,אֲבָקָה,"abaqah (ab-aw-kaw') n-f.
1. powder
[feminine of H80]
 Root(s): H80 ",H,noun,feminine,1,SNG 3:6,אבק,9,80,אבק,,,,
82,אָבַר,"abar (aw-bar') v.
1. to soar
[a primitive root]
KJV: fly. ",H,verb,,1,JOB 39:26,אבר,31,,,,,,
83,אֵבֶר,"eber (ay-ber') n-m.
1. a pinion
[from H82]
KJV: (long-)wing(-ed). 
Root(s): H82 ",H,noun,masculine,3,PSA 55:6,אבר,31,82,אבר,,,,
84,אֶברָה,"ebrah (eb-raw') n-f.
1. feather, wing
[feminine of H83]
 Root(s): H83 ",H,noun,feminine,4,DEU 32:11,אבר,31,83,אבר,,,,
85,אַברָהָם,"Abraham (ab-raw-hawm') n/p.
1. father of a multitude
2. Abraham, the later name of Abram
[contracted from H1 and an unused root (probably meaning to be populous)]
KJV: Abraham. 
Root(s): H1 ",H,noun proper,,175,GEN 17:5,אב,1414,1,אב,,,,
86,אַברֵך,"abrek (ab-rake') inj.
1. bow the knee
[probably an Egyptian word meaning kneel]",H,injunction,,1,GEN 41:43,ברך,,,,,,,
87,אַברָם,"Abram (ab-rawm') n/p.
1. high father
2. Abram, the original name of Abraham
[contracted from H48]
KJV: Abram. 
Root(s): H48",H,noun proper,,61,GEN 11:26,,,48,אבירם,,,,
88,אוֹבוֹת,"oboth (o-both') n/l.
1. water-skins
2. Oboth, a place in the Desert
[plural of H178]
KJV: Oboth. 
Root(s): H178 ",H,noun location,,4,NUM 21:10,אוב,4,178,אוב,,,,
89,אָגֵא,"Age' (aw-gay') n/p.
1. Age, an Israelite
[of uncertain derivation]
KJV: Agee. 
Compare: H90 ",H,noun proper,,1,2SA 23:11,אגג,14,,,,,,
90,אֲגַג,"Agag (ag-ag') (or uAgag {Ag-awg'}) n/p.
1. flame
2. Agag, a title of Amalekitish kings
[of uncertain derivation]
KJV: Agag. 
Compare: H89 ",H,noun proper,,8,NUM 24:7,אגג,14,,,,,,
91,אֲגָגִי,"Agagiy (ag-aw-ghee') adj.
1. an Agagite or descendent (subject) of Agag
[patrial or patronymic from H90]
KJV: Agagite. 
Root(s): H90",H,adjective,,5,EST 3:1,אגג,14,90,אגג,,,,
92,אֲגֻדָּה,"aguddah (ag-ood-daw') n-f.
1. a band, bundle, knot, or arch
[feminine passive participle of an unused root (meaning to bind)]
KJV: bunch, burden, troop. ",H,noun,feminine,4,EXO 12:22,,,,,,,,
93,אֱגוֹז,"egowz (eg-oze') n-m.
1. a nut
[prob of Persian origin]
KJV: nut. ",H,noun,masculine,1,SNG 6:11,,,,,,,,
94,אָגוּר,"Aguwr (aw-goor') n/p.
1. gathered (i.e. received among the sages)
2. Agur, a fanciful name for Solomon
[passive participle of H103]
KJV: Agur. 
Root(s): H103 ",H,noun proper,,1,PRO 30:1,אגר,15,103,אגר,,,,
95,אֲגוֹרָה,"agowrah (ag-o-raw') n-f.
1. (properly) something gathered, i.e. perhaps a grain or berry
2. used only of a small (silver) coin
[from the same as H94]
KJV: piece (of) silver. 
Root(s): H94 ",H,noun,feminine,1,1SA 2:36,אגר,15,94,אגור,,,,
96,אֶגֶל,"egel (eh'-ghel) n-m.
1. a reservoir
[from an unused root (meaning to flow down or together as drops)]
KJV: drop. ",H,noun,masculine,1,JOB 38:28,אגל,2,,,,,,
97,אֶגלַיִם,"Eglayim (eg-lah'-yim) n/l.
1. a double pond
2. Eglajim, a place in Moab
[dual of H96]
KJV: Eglaim. 
Root(s): H96 ",H,noun location,,1,ISA 15:8,אגל,2,96,אגל,,,,
98,אֲגַם,"agam (ag-am') n-m.
1. a marsh
2. hence a rush (as growing in swamps)
3. hence a stockade of reeds
[from an unused root (meaning to collect as water)]
KJV: pond, pool, standing (water). ",H,noun,masculine,9,EXO 7:19,אגם,15,,,,,,
99,אָגֵם,"agem (aw-game') adj.
1. figuratively, sad
[probably from the same as H98 (in the sense of stagnant water)]
KJV: pond. 
Root(s): H98 ",H,adjective,,1,ISA 19:10,אגם,15,98,אגם,,,,
100,אַגמוֹן,"agmown (ag-mone') n-m.
1. a marshy pool (others from a different root, a kettle)
2. (by implication) a rush (as growing there)
3. (collectively) a rope of rushes
[from the same as H98]
KJV: bulrush, caldron, hook, rush. 
Root(s): H98 ",H,noun,masculine,5,JOB 41:2,אגם,15,98,אגם,,,,
101,אַגָּן,"aggan (ag-gawn') n-m.
1. a bowl (as pounded out hollow)
[probably from H5059]
KJV: basin, cup, goblet. 
Root(s): H5059 ",H,noun,masculine,3,EXO 24:6,נגן,,5059,נגן,,,,
102,אַגָּף,"aggaph (ag-gawf') n-m.
1. a cover or heap
2. i.e. (only plural) wings of an army, or crowds of troops
[probably from H5062 (through the idea of impending)]
KJV: bands. 
Root(s): H5062 ",H,noun,masculine,7,EZK 12:14,נגף,,5062,נגף,,,,
103,אָגַר,"agar (aw-gar') v.
1. to harvest
[a primitive root]
KJV: gather. ",H,verb,,3,DEU 28:39,אגר,15,,,,,,
104,אִגְּרָא,"iggra' (ig-er-aw') n-f.
1. an epistle (as carried by a state courier or postman)
[(Aramaic) of Persian origin]
KJV: letter. ",A,noun,feminine,3,EZR 4:8,,,,,,,,
105,אֲגַרטָּל,"agartal (ag-ar-tawl') n-m.
1. a basin
[of uncertain derivation]
KJV: charger. ",H,noun,masculine,2,EZR 1:9,,,,,,,,
106,אֶגרוֹף,"egroph (eg-rofe') n-m.
1. the clenched hand
[from H1640 (in the sense of grasping)]
KJV: fist. 
Root(s): H1640 ",H,noun,masculine,2,EXO 21:18,גרף,,1640,גרף,,,,
107,אִגֶּרֶת,"iggereth (ig-eh'-reth) n-f.
1. an epistle
[feminine of H104]
KJV: letter. 
Root(s): H104 ",H,noun,feminine,10,2CH 30:1,אגר,15,104,אגרא,,,,
108,אֵד,"ed (ade) n-m.
1. a fog
[from the same as H181 (in the sense of enveloping)]
KJV: mist, vapor. 
Root(s): H181 ",H,noun,masculine,2,GEN 2:6,אוד,340,181,אוד,,,,
109,אָדַב,"adab (aw-dab') v.
1. to languish
[a primitive root]
KJV: grieve.",H,verb,,1,1SA 2:33,אדב,1,,,,,,
110,אַדבְּאֵל,"Adb'el (ad-beh-ale') n/p.
1. disciplined of God
2. Adbeel, a son of Ishmael
[probably from H109 (in the sense of chastisement) and H410]
KJV: Adbeel. 
Root(s): H109, H410 ",H,noun proper,,2,GEN 25:13,,,109,אדב,410,אל,,
111,אֲדַד,"Adad (ad-ad') n/p.
1. Adad (or Hadad), an Edomite
[probably an orthographical variation for H2301]
KJV: Hadad. 
Root(s): H2301 ",H,noun proper,,1,1KI 11:17,,,2301,חדד,,,,
112,אִדּוֹ,"Iddow (id-do) n/p.
1. Iddo, an Israelite
[of uncertain derivation]
KJV: Iddo. ",H,noun proper,,1,EZR 8:17,,,,,,,,
